id,sents
0,He poured milk on his cereal.
1,He drinks milk.
2,Jeff ran a mile today
3,A mosquito stings me
4,A niece is a person.
5,A walk-in closet is larger than a normal closet.
6,I like to ride my bike
7,A GIRL WON THE RACE WITH HER FRIEND
8,he pour water in to the jug
9,A girl plays volleyball
10,Kids find eggs on Easter.
11,Mark drank water.
12,He went to the bank to withdraw cash.
13,An owner can price goods
14,she wear bangles in the hand
15,My cousin throws the snowball to my brother.
16,The caterpillar eats the rose bud
17,Lisa played jazz music for the President of the USA yesterday.
18,the computer broke down and the technician will fix it
19,I drank water.
20,I usually wear a shoes in my feet
21,My brother placed the car inside the box.
22,She took the dog for a walk
23,A dog barked at a cat in the street.
24,He mowed the tall grass
25,I drive a car
26,I dress myself
27,I cook fish very well
28,Boat is a very good mode of water transport
29,a dog is taken to a veterinarian after getting sick
30,She rode her bike to the store.
31,A mobile phone shut down
32,He planted cucumber seeds in the garden.
33,I play games on my laptop
34,I read stars
35,A boy turns off the light
36,He read a  book about King Tut.
37,He lost his phone at the park.
38,Sara had a glass of water
39,he kept a juice bottle into the fridge
40,I read a book
41,I use internet in my mobile
42,She drove her children to the playground.
43,She drove to the grocery store.
44,The fish swam in the ocean.
45,There was a man walking in the snow.
46,I swim in a swimming pool
47,A person eats tomatoes
48,Jane saw a giraffe at the zoo.
49,We use a clock to know the time
50,I was playing basketball with a ball
51,Mary took her dog for a walk
52,I like to listen podcasts as I commute
53,I run in the ground
54,There was a woman riding an elephant in Africa.
55,He ate an apple
56,Jack ate mango
57,Baby is taking toys
58,the school was open for fall
59,The chocolate melted
60,There are commercials in the middle of a television program
61,He was tired and so he went to get into his bed.
62,You sometimes puke after getting drunk
63,You can use a checkbook holder to hold checks.
64,Actors are people who play characters in television or theatre
65,A man drove a car.
66,A small dog is called a puppy
67,The man went to work
68,My daughter always takes bath in a shower and avoids bath tub
69,He killed him with a knife
70,They shared their popcorn at the cinema
71,Rotten food usually smells nasty.
72,An actor can wear a costume.
73,The man slept in bed.
74,She spoke to a man at the door.
75,You will find teachers in a school.
76,She cuts a pizza with a knife.
77,They built a house.
78,The man put some muffins in the microwave
79,There was a bird flying.
80,He played the harp very well
81,If your heartbeat stops then you are classed as dead.
82,He jumped on the trampoline
83,Georgia Tech is a school.
84,She was going to school in a bus
85,The moon turns full about once a month
86,The man paid the bill with cash.
87,You are cooking the dinner
88,She write the story in paper
89,A computer can run out of storage.
90,People cry when they are sad.
91,Most people like to have coffee and doughnuts in the morning.
92,Frank hit Will with a stone causing him pain
93,He put a sock on his foot.
94,he shaved his beard
95,She put mustard on a corndog.
96,they put on shoes to walk outside
97,He was playing music
98,A person can visit relatives.
99,Tight shoes cause discomfort.
100,"A diet is a great way to lower blood pressure, and lose weight."
101,Plants can make carbohydrates
102,My friend like to eat non-veg food
103,france is in Europe
104,He drove his car to London
105,"When a baby is born, that day is called its' birthday."
106,A lady shops at Walmart
107,Drinking alcohol gets you drunk.
108,The gun shot a bullet
109,A forest is an area covered with trees
110,He built a building
111,The grass is growing.
112,She cut the meat with a knife.
113,I ran to the barn.
114,People write with pens.
115,The whale swims in the ocean.
116,A boxer is likely to throw a punch in a boxing match.
117,There was a person drinking water.
118,She drank a cup of tea.
119,He was changing tv channels with remote
120,The whale swam through the ocean
121,He moved his belongings to a new city
122,He put the ice cream in the freezer
123,The plane was full of people
124,She went to the shop to buy bread
125,He took the trash out to the curb.
126,Alice lit a candle at night
127,She delivered a pizza.
128,A musician can play an instrument
129,She brushed her teeth with a brush.
130,The man entered the house
131,He put an orange on the shelf
132,Jill wrote a book about wizards.
133,He travels by a bus to reach the office.
134,He buys a burger to eat.
135,The ice melted at room temperature.
136,He walked to the store
137,He raised a tambourine with his hands.
138,Dwight cut down a tree
139,he swam in the lake
140,He put a card in his wallet.
141,The woman wrote down the story with a pencil on paper
142,she ate a banana
143,I use swords
144,Geralt drives his car every day
145,She needed to call her mother but she could not find her phone
146,He served vegetables for dinner
147,He went to restaurant because he feels hungry
148,The Piano was played
149,today will be 24 hours
150,A cup is for holding a liquid you plan to drink.
151,I dress myself
152,He threw the ball into the basket.
153,I like to eat boiled eggs
154,He ate barbecue.
155,He danced on the floor
156,A portrait is a painting or a photograph which focuses on the face of a person
157,The child rubbed mud on his face.
158,A man defrosted a chicken using a microwave.
159,He was walking on the road.
160,A shark eats a fish
161,She lifted a chair.
162,She makes a phone call.
163,The sun shines bright in the day
164,The elephant eats
165,The woman writes in the book.
166,the country of Denmark exists
167,Something you can find on a desktop is dust.
168,Dogs eat dog food.
169,Children love reading stories
170,You can take a bath in a tub
171,The coin was made of silver
172,A bread knife is used for cutting bread
173,She makes omelette with chicken's egg.
174,She lay on the bed to sleep
175,The water on the stove is boiling.
176,A spider spun a web.
177,she bought minecraft to play on her xbox
178,She put a phone in her bag.
179,She took the laptop in the car
180,He put the pills in his mouth.
181,He put a hat over his head
182,Dog's love eating meat.
183,He opened the door
184,He rode his car across the highway
185,I put my dog on the couch
186,There was a snake wrapped around a tree.
187,He played the piano with his fingers.
188,A pocket knife is very useful.
189,He ate a ham sandwich
190,The cat bites a rubber ball.
191,The man got in the car and drove off
192,Ohio is a state in America
193,I baked a gluten-free cake.
194,He plays tennis with a tennis ball
195,There were a lot of people pulling a huge ten ton block.
196,an apple a day keeps doctor away
197,She put the shoe on her foot.
198,Rain fell from the sky
199,A child can close a door.
200,There was a lion hunting a zebra.
201,The dog chased the cat.
202,A ruler is used for measuring distance between things
203,A football is likely to be kicked by a footballer.
204,He went on holiday to Turkey
205,"When it is dark at home, you can turn on the light"
206,A recipe is great way to cook a gourmet meal and avoid minor mistakes in the kitchen.
207,He drinks beer in a mug
208,The family came back from the movies
209,Sugar is sweet for humans
210,It rains often in London
211,The man had a pizza for dinner
212,She washed her hair with shampoo
213,taking a walk in the park can be good for your health
214,Something you find at a water cooler is co-workers
215,She jumped into the water of a pool.
216,She lives in a home.
217,John plays the piano.
218,People drink water to hydrate themselves.
219,I take my medicine
220,He drew water from the bottle.
221,Tomorrow is Friday.
222,He cooked milk in the pan.
223,Dirty dishes can be cleaned in a dishwater.
224,He put a cat into the cabinet.
225,The girl likes to eat sweets.
226,The dog barked at the mailman.
227,If you drink a lot in the pub you will become drunk
228,The woman played football
229,The eagle flew high in the sky
230,She went to the park on Sunday
231,100 is one hundred
232,She ran on the track.
233,he drank apple juice
234,The girl was sleeping on a couch
235,I typed something on the keyboard
236,The plane flew to Belize
237,He visited a dentist to check his tooth pain
238,The dog goes for a walk three times a day.
239,You need to buy a ticket to enter a cinema
240,He didn't want to leave from inside his house.
241,He unlocked the door with a key.
242,He took his dog to the veterinarian for a health check-up.
243,One of the things you do when you wake up is brushing your teeth
244,The Children were happy seeing the clown
245,He carved the ham with a knife.
246,He took his dog to the veterinary to take his vaccines
247,"In the morning when I wake up, I eat breakfast."
248,Potatoes is the plural of potato
249,I found a notepad on a table.
250,Something you might do while driving your car is slam on the brakes
251,People went to church to pray
252,He called the police to complain about the robber
253,Curtains stop light from entering the room.
254,He sent a text message in mobile
255,An armchair is where people sit and relax
256,He was sentenced to death in a trial.
257,He drinks tea every morning
258,"James read the last page of the book, and put it back on the book shelf."
259,She pushed her trolley around the supermarket to collect groceries
260,You can see pictures in a museum
261,He packed his clothes in a bag
262,She put her shoes on her feet
263,He bought chicken to cook food
264,I want to play football on my xbox
265,The student copied his professors notes.
266,Mobiles are easy to carry
267,A bed is used for sleeping
268,My friend drank juice in a glass.
269,She put a pie in the oven.
270,She was eating chocolate
271,She got into bed to sleep.
272,She put a pizza in the oven.
273,Umbrella is used during a rainy day.
274,we can cook food in the kitchen
275,Food baked longer than recommended can burn
276,Jim drove to the mall
277,She heated up the water to make tea.
278,A sword is a weapon
279,A planet has a sphere shape
280,He put frozen turkey in the freezer.
281,Grass is green
282,Most plants have green leaves.
283,The doctor gave vaccine through injection
284,My house is white.
285,You can buy beer in bottles
286,Eating lot of food makes you fat
287,Adjectives are a part of speech
288,It rains occasionally which is good for the trees and grass.
289,If she is dead she won't be buying anything any more.
290,The dog jumped over a log.
291,She worked out the answer on the calculator
292,She hung a picture frame on the wall.
293,Anxiety disorders affect around 10% of people at any one time.
294,Boats sail on the water.
295,Doctors are good people
296,I wore a black tie to the funeral
297,The Teacher Scolded the Students
298,They switched on the television to watch their favourite programme
299,he kept ice cream in the freezer
300,She was frying the nuts in hot pan
301,Learning how to cycle is easy
302,Michelle put a TV in the back of her car.
303,you will find a rock in a mountain
304,The car crossed the river on the ferry.
305,The rain made my t-shirt wet.
306,she was swimming in hot  water.
307,Bella loves to dance in a ballroom in her pink dress
308,Eggs usually used to eat
309,One thing you will see at a Tyre change shop is a compressor
310,Mobile phones are good means of communication
311,Winter coats are helpful in cold temperatures.
312,He ate an apple
313,Pencils contain a graphite core
314,he cut the cheese with knife
315,He took his family to restaurant for dinner
316,Players play soccer with sports shoes
317,His reflection was visible in the mirror
318,He was eating hotdogs
319,I will play the guitar in class tomorrow in front of students
320,A lathe is used to shape material.
321,Coffee is a drink with brown colour
322,People use computer to make money.
323,A policeman carries a gun.
324,People can row boats.
325,bridges are built to cross rivers
326,He puts ham on his sandwich.
327,Something you find in a living room is a chair
328,A fox is an animal
329,He puts the lotion in the basket
330,You are likely to meet a car accident on the road
331,No person would want to live with rats
332,He read a book in the table
333,A grey cat chases a small rat away
334,She went to the hospital to have a surgery.
335,The keyboard makes a clicking sound when it is typed on.
336,Cake is a common food item at birthday parties.
337,A joey is a baby kangaroo
338,He drove his car down the street.
339,Cars have got four wheels
340,He clicked the computer screen with mouse
341,She will give birth after 9 months of pregnancy
342,A passport is necessary to travel from one country to another.
343,Jonathan smells bad when organic litter is near
344,A tunnel is a way to get from one side of a water way to another.
345,He bought a gift for his friend wedding
346,She applied sunscreen on her face in summer
347,Four quarters is equal to one whole.
348,Apples grow on trees
349,Pencil can be erased more easily than crayon
350,It is likely that she will get into university with her pass in the qualifying exam
351,He called his wife on her mobile
352,She put a dog in the car.
353,The wood plank was floating on the lake
354,He stored music files in a pen drive
355,"A basil plant needs sun, water and soil in order to flourish."
356,I drive a car to work every day
357,You can use a pool to swim
358,The truck drove on the highway.
359,I walked on land
360,There are four stools around the table
361,The girl rode the bike.
362,He checked time on his watch
363,The criminal was sentenced to 2 years in prison.
364,He was swimming in a swimming pool
365,Bill has got two friends in Belgic
366,The rabbit went down the hole.
