id,sent0,sent1,label
0,He poured milk on his cereal.,He poured orange juice on his cereal.,0
1,He drinks milk.,He drinks apple.,0
2,Jeff ran a mile today,"Jeff ran 100,000 miles today",1
3,A mosquito stings me,I sting a mosquito,1
4,A niece is a person.,A giraffe is a person.,1
5,A walk-in closet is larger than a normal closet.,A normal closet is larger than a walk-in closet.,1
6,I like to ride my bike,I like to ride my chocolate,0
7,A GIRL WON THE RACE WITH HER FRIEND,A GIRL WON THE RACE WITH HORSE,1
8,he pour water in to the jug,he put elephant into the jug,0
9,A girl plays volleyball,A dog plays volleyball,1
10,Kids find eggs on Easter.,Eggs eat kis on Easter.,0
11,Mark drank water.,Mark drank a notebook.,0
12,He went to the bank to withdraw cash.,He went to the police station to withdraw cash.,0
13,An owner can price goods,An employee can price goods,1
14,she wear bangles in the hand,she wear hat in the hand,1
15,My cousin throws the snowball to my brother.,My cousin throws the house to my brother.,1
16,The caterpillar eats the rose bud,Roses buds  eat caterpillars,1
17,Lisa played jazz music for the President of the USA yesterday.,Lisa played jazz music for Moses of the Old Testament yesterday.,0
18,the computer broke down and the technician will fix it,the computer broke down and the doctor fixed it,0
19,I drank water.,I drank bleach.,0
20,I usually wear a shoes in my feet,I usually wear a shoe on my head,0
21,My brother placed the car inside the box.,My brother placed the nuclear reactor inside the box.,1
22,She took the dog for a walk,She took the chair for a walk,0
23,A dog barked at a cat in the street.,A dog roared at a cat in the street.,1
24,He mowed the tall grass,He mowed the carpet,0
25,I drive a car,I drive a bike,0
26,I dress myself,I dress an elephant,0
27,I cook fish very well,I cook football very well,1
28,Boat is a very good mode of water transport,Car is a very good mode of water transport,0
29,a dog is taken to a veterinarian after getting sick,a dog is taken to a pool after getting sick,1
30,She rode her bike to the store.,She rode her bike to the moon.,0
31,A mobile phone shut down,A boy shuts down,1
32,He planted cucumber seeds in the garden.,He planted cucumber seeds in the couch.,0
33,I play games on my laptop,I play games on my Gas stove,0
34,I read stars,Stars read me,1
35,A boy turns off the light,A boy turns off the door,0
36,He read a  book about King Tut.,He read a very long window King Tut.,0
37,He lost his phone at the park.,He lost his phone in the mouth of a griffin.,1
38,Sara had a glass of water,Sara had a glass of petrol,1
39,he kept a juice bottle into the fridge,he kept a chair inside the fridge,1
40,I read a book,I read a tiger,0
41,I use internet in my mobile,I use internet on my radio,0
42,She drove her children to the playground.,She drove her children to the moon.,0
43,She drove to the grocery store.,She parachuted into the grocery store from a plane.,1
44,The fish swam in the ocean.,The fish swam in the desert.,0
45,There was a man walking in the snow.,There was a dead ice creature walking in the snow.,1
46,I swim in a swimming pool,I swim under a tap,0
47,A person eats tomatoes,A person eats mountains,1
48,Jane saw a giraffe at the zoo.,Jane saw a giraffe in her purse.,1
49,We use a clock to know the time,We use book to know the time,1
50,I was playing basketball with a ball,I was playing basketball with a rock,1
51,Mary took her dog for a walk,Mary took her moth for a walk,1
52,I like to listen podcasts as I commute,I like to listen colours as I commute,1
53,I run in the ground,I run in the air,0
54,There was a woman riding an elephant in Africa.,There was a blonde woman riding a dragon.,0
55,He ate an apple,He ate the book,0
56,Jack ate mango,Jake ate artificial mango,0
57,Baby is taking toys,Baby is taking dictionary,1
58,the school was open for fall,the school was open for summer,0
59,The chocolate melted,The chocolate cried,0
60,There are commercials in the middle of a television program,There are barbecues in the middle of a television program,1
61,He was tired and so he went to get into his bed.,He was tired and so he went to get into his car.,0
62,You sometimes puke after getting drunk,You never puke after getting drunk,1
