id,sentence,label
0,He poured orange juice on his cereal.,1
1,He drinks apple.,1
2,Jeff ran a mile today,0
3,A mosquito stings me,0
4,A niece is a person.,0
5,A walk-in closet is larger than a normal closet.,0
6,I like to ride my chocolate,1
7,A GIRL WON THE RACE WITH HER FRIEND,0
8,he put elephant into the jug,1
9,A girl plays volleyball,0
10,Eggs eat kis on Easter.,1
11,Mark drank a notebook.,1
12,He went to the police station to withdraw cash.,1
13,An owner can price goods,0
14,she wear bangles in the hand,0
15,My cousin throws the snowball to my brother.,0
16,The caterpillar eats the rose bud,0
17,Lisa played jazz music for Moses of the Old Testament yesterday.,1
18,the computer broke down and the doctor fixed it,1
19,I drank bleach.,1
20,I usually wear a shoe on my head,1
21,My brother placed the car inside the box.,0
22,She took the chair for a walk,1
23,A dog barked at a cat in the street.,0
24,He mowed the carpet,1
25,I drive a bike,1
26,I dress an elephant,1
27,I cook fish very well,0
28,Car is a very good mode of water transport,1
29,a dog is taken to a veterinarian after getting sick,0
30,She rode her bike to the moon.,1
31,A mobile phone shut down,0
32,He planted cucumber seeds in the couch.,1
33,I play games on my Gas stove,1
34,I read stars,0
35,A boy turns off the door,1
36,He read a very long window King Tut.,1
37,He lost his phone at the park.,0
38,Sara had a glass of water,0
39,he kept a juice bottle into the fridge,0
40,I read a tiger,1
41,I use internet on my radio,1
42,She drove her children to the moon.,1
43,She drove to the grocery store.,0
44,The fish swam in the desert.,1
45,There was a man walking in the snow.,0
46,I swim under a tap,1
47,A person eats tomatoes,0
48,Jane saw a giraffe at the zoo.,0
49,We use a clock to know the time,0
50,I was playing basketball with a ball,0
51,Mary took her dog for a walk,0
52,I like to listen podcasts as I commute,0
53,I run in the air,1
54,There was a blonde woman riding a dragon.,1
55,He ate the book,1
56,Jake ate artificial mango,1
57,Baby is taking toys,0
58,the school was open for summer,1
59,The chocolate cried,1
60,There are commercials in the middle of a television program,0
61,He was tired and so he went to get into his car.,1
62,You sometimes puke after getting drunk,0
63,You can use a jellyfish to hold checks.,1
64,Lawyers are people who play characters in television or theatre,1
65,A giraffe drove a car,1
66,A small dog is called a kitten,1
67,The parrot went to work,1
68,My daughter always takes bath in a kitchen sink and avoids bath tub,1
69,He killed him with a knife,0
70,The cinema shared popcorn with them,1
71,Rotten food usually smells nasty.,0
72,An actor wear a toaster.,1
73,The man slept in bed.,0
74,She spoke to a ghost at the door.,1
75,You will never see a teacher inside of a school.,1
76,She cuts a pizza with a knife.,0
77,They built the sun,1
78,The man put some muffins in the microwave,0
79,There was a chicken flying.,1
80,He played the cow very well,1
81,If your heartbeat stops then you are classed as dead.,0
82,the trampoline jumped on him,1
83,Georgia Tech is a school.,0
84,She was going to school in a bus,0
85,The moon turns full about once a month,0
86,The man paid the bill with cash.,0
87,You are cooking the dinner,0
88,She write the story in paper,0
89,The storage in every computer is unlimited.,1
90,People only cry when they are angry.,1
91,Most people like to have coffee and doughnuts in the morning.,0
92,Frank hit Will with a stone causing him pain,0
93,he put the sock on the drum.,1
94,he shaved his teeth,1
95,She put mustard on a star.,1
96,they put on shoes to walk outside,0
97,He was playing music,0
98,A person can visit relatives.,0
99,Tight shoes are comfortable.,1
100,Low blood pressure is a hazardous way to diet and lose weight.,1
101,Plants can make computers,1
102,My friend like to eat non-veg food,0
103,Europe is in france,1
104,He drove his car to London,0
105,The babies birthday is the day their parents met.,1
106,A sheep shops at Walmart,1
107,You can not get drunk from alcohol.,1
108,The gun shot a bullet,0
109,A forest is an area covered with snow,1
110,The building built him,1
111,The grass is growing.,0
112,She cut the meat with a fridge.,1
113,I ran to the barn.,0
114,No one uses pens to write with.,1
115,The whale swims in a bathtub.,1
116,A boxer would never punch in a boxing match.,1
117,There was a person drinking sulfuric acid.,1
118,She drank a cup of tires.,1
119,He was changing tv channels with remote,0
120,The whale swam through the ocean,0
121,He moved a city to his belongings,1
122,He put the ice cream in the freezer,0
123,The plane was full of people,0
124,She went to the shop to buy bread,0
125,He took the curb to the trash.,1
126,Alice lit a candle at night,0
127,She flew on a pizza.,1
128,A musician can play an instrument,0
129,She brushed her teeth with a truck.,1
130,The house entered the man,1
131,He put a whale on the shelf.,1
132,Jill ate the wizard in her book.,1
133,He travels by a bus to reach the office.,0
134,He buys a burger to eat.,0
135,The table melts at room temperature.,1
136,He walked to mars,1
137,He raised a tambourine with his hands.,0
138,Dwight cut down a mountain,1
139,he swam in the lava,1
140,He put a card in his wallet.,0
141,The woman wrote down the story with a pencil on paper,0
142,she ate a brick,1
143,Swords use me,1
144,Geralt drives his car every day,0
145,She needed to call her mother but she could not find her phone,0
146,He served vegetables for dinner,0
147,He went to restaurant because he feels hungry,0
148,The Piano was hit,1
149,today will be 30 hours,1
150,A cup is for holding a liquid you plan to drink.,0
151,I dress myself,0
152,He threw an anvil into the basket.,1
153,I like to eat boiled eggs,0
154,He ate a crane.,1
155,He danced on the spoon,1
156,A landscape is a painting or a photograph which focuses on the face of a person,1
157,The child rubbed mud on his face.,0
158,A man defrosted a chicken using a microwave.,0
159,He was walking on the water.,1
160,A shark interviews a fish.,1
161,She lifted a tractor.,1
162,She makes a call by the stove.,1
163,The sun shines bright in the day,0
164,The elephant eats,0
165,The woman writes in the book.,0
166,the country of Denmark exists,0
167,You will never find dust on a desktop.,1
168,Dogs eat dog food.,0
169,Children love reading stories,0
170,You can take a bath in a tub,0
171,The coin was made of silver,0
172,A fork is used for cutting bread,1
173,She makes omelette with horse's egg.,1
174,She lay on the bed to sleep,0
175,The water froze on the stove.,1
176,A spider spun a web.,0
177,she bought minecraft to play on her xbox,0
178,She put a phone in her bag.,0
179,She took the laptop in the car,0
180,He put the shoes in his mouth,1
181,He put a hat over his head,0
182,You will never find a dog that likes to eat meat.,1
183,He opened the door,0
184,He rode his car across the ocean,1
185,I put my bowling alley on the couch,1
186,There was an ant wrapped around a tree.,1
187,He played the piano with his fingers.,0
188,A pocket knife is useless.,1
189,He ate a ham sandwich,0
190,The cat bites a rubber ball.,0
191,The fish got into the car and drove off,1
192,Cleveland is a state in America,1
193,I broiled a gluten-free cake.,1
194,He plays tennis with a basketball ball,1
195,There were a lot of people pulling a huge ten ton block.,0
196,a computer a day keeps doctors away,1
197,She put a shirt on her foot.,1
198,Rain fell from the sky,0
199,A child can breath fire.,1
200,There was a zebra hunting a lion.,1
201,The dog chased the cat.,0
202,Scales are used for measuring distances between things,1
203,A football is likely to be kicked by a footballer.,0
204,He went on holiday to Chicken,1
205,"When it is dark at home, you can turn on the heaters",1
206,A recipe is great way to cook a gourmet meal and avoid minor mistakes in the kitchen.,0
207,He drinks beer in a dog,1
208,The family came back from the moon,1
209,Sugar is sweet for humans,0
210,It rains often in London,0
211,The man had an automobile for dinner,1
212,She washed her hair with shampoo,0
213,taking a walk in the park can be good for your health,0
214,Something you find at a water cooler is co-workers,0
215,She jumped into the water of a pool.,0
216,She lives in a home.,0
217,John plays the piano.,0
218,You cannot hydrate yourself by drinking water.,1
219,I take my medicine,0
220,He drew water from the bottle.,0
221,Tomorrow is Friday.,0
222,He cooks a bed in the pan.,1
223,Dirty dishes cannot be cleaned in a dishwasher.,1
224,He put a cat into the cabinet.,0
225,The girl likes to eat sweets.,0
226,The cat barked at the mailman.,1
227,If you drink a lot in the pub you will become drunk,0
228,The woman played television,1
229,The eagle flies deep in the ocean,1
230,She went to the park on Sunday,0
231,200 is one hundred,1
232,She ran on the track.,0
233,he drank apple juice,0
234,The girl was sleeping on a couch,0
235,I typed something on the floor,1
236,The plane flew to Belize,0
237,He visited a dentist to check his tooth pain,0
238,The dog goes flying three times a day.,1
239,You need to buy a ticket to enter a cinema,0
240,He didn't want to leave from inside his mailbox.,1
241,He unlocked the door with a shoe.,1
242,He took his dog to the hairdresser for a health check-up.,1
243,One of the things you do when you wake up is brushing your teeth,0
244,The Children were happy seeing the clown,0
245,He carved the ham with a knife.,0
246,He took his dog to the veterinary to take his vaccines,0
247,"In the morning when I wake up, I eat breakfast.",0
248,Potatos is the plural of potato,1
249,I found a notepad on a table.,0
250,Something you might do while driving your car is slam on the brakes,0
251,People went to restaurant to pray,1
252,He called the police to complain about the robber,0
253,Curtains let more light into the room.,1
254,He sent a text message in lunch box,1
255,An armchair is where people sit and relax,0
256,He was sentenced to death in a trial.,0
257,He drinks petrol every morning,1
258,"James read the last page of the book, and put it back on the book shelf.",0
259,She drove her car around the supermarket to collect groceries,1
260,You can see pictures in a museum,0
261,He packed his clothes in a pen,1
262,She put her shoes on her feet,0
263,He bought plate to cook food,1
264,I want to play football on my guitar,1
265,The student copied his professors notes.,0
266,Mobiles are used to cleaning,1
267,A bed is used for sleeping,0
268,My friend drank juice in a glass.,0
269,She put a pie in the oven.,0
270,She was eating shoe,1
271,She got into the bathtub to sleep.,1
272,She put a pizza in the oven.,0
273,Umbrella is used during a rainy day.,0
274,we can cook food in the kitchen,0
275,Food baked longer than recommended can burn,0
276,Jim drove to the mall,0
277,She heated up the water to make tea.,0
278,A sword is a weapon,0
279,A planet has a square shape,1
280,He put frozen turkey in the freezer.,0
281,Grass is green,0
282,Most plants have green leaves.,0
283,The doctor gave vaccine through injection,0
284,My house is homosexual.,1
285,You can buy cigarettes in bottles,1
286,Eating lot of food makes you fat,0
287,Adjectives are a part of speech,0
